file,rows,cols,fetch_mode,data_as_of_utc
headline_metrics.csv,1,7,latest,2026-06-21T20:51:26Z
burn_over_time_usd.csv,26,4,latest,2026-06-21T20:51:26Z
net_supply_mint_burn.csv,28,3,latest,2026-06-21T20:51:26Z
uniswap_volume_weekly.csv,42,3,latest,2026-06-21T20:51:26Z
top_holders.csv,25,4,latest,2026-06-21T20:51:26Z
cumulative_burn.csv,26,2,latest,2026-06-21T21:14:14Z
governance_turnout.csv,6,6,latest,2026-06-21T21:22:20Z
delegated_power.csv,25,3,latest,2026-06-21T21:22:22Z
concentration_gini_nakamoto.csv,1,3,latest,2026-06-21T21:34:53Z
holder_features.csv,1000,10,fresh-sql,2026-06-21T22:47:32Z
price_comparison.csv,204,4,fresh-sql-dune,2026-06-22T00:00:00Z
uniswap_tvl.csv,296,2,defillama-api,2026-06-22T00:00:00Z
