delegate,voting_power,pct_of_delegated
0x11da8ae234edd16b135edc47e5d9becc8717ecdc,15003219.0,7.15
0x465f39229c30d8171c540a9411d1b6bd894f8aa3,14986062.0,7.15
0x19d373d0f95f00d368a8d57605af746c4ea9b1d0,9295469.0,4.43
0x53689948444cfd03d2ad77266b05e61b8eed3132,9003040.0,4.29
0x030d6830dc8ff125850390da620fa3e12decd437,9000000.0,4.29
0x6d714455d4b28595d4085aa7c8e4f499492875c3,8007643.0,3.82
0xe7925d190aea9279400cd9a005e33ceb9389cc2b,8002091.0,3.82
0x1d8f369f05343f5a642a78bd65ff0da136016452,8000001.0,3.82
0x5f246d7d19aa612d6718d27c1da1ee66859586b0,7300000.0,3.48
0x88e15721936c6eba757a27e54e7ae84b1ea34c05,7250000.0,3.46
0xcb70d1b61919dae81f5ca620f1e5d37b2241e638,7000000.0,3.34
0x4421aec43b6157b210868bc687190a874150448d,5311814.0,2.53
0x42f9134e9d3bf7eee1f8a5ac2a4328b059e7468c,5000000.0,2.38
0x2193c9a83d90fab555a5d450ad6c2feba6924967,5000000.0,2.38
0xcfaae1ae2c0ae4d498061aa798186ecb815fc609,4000000.0,1.91
0x2fd0eb27494d7a336574919fc670c05adbf65c80,3100000.0,1.48
0xaebb1719d3a7d631702347bc90c03511fa0ddebd,2900000.0,1.38
0xa7f63376169ccc087eb1160e62ceccb146c1d555,2891295.0,1.38
0x069e40a2c06da4925e3dc889032d10bdf88439f6,2750000.0,1.31
0x9c980d9e5c46eaf6c1e7ddd2dcd30c1fcd9875d7,2646496.0,1.26
0x7fd805e2852113e8167c701b43ead86364e800b9,2531498.0,1.21
0x77ad346eb003ec94a54e23cb88a53146e9697668,2500000.0,1.19
0x9251b961e67a8e900aa719582ba269bd6241e4b6,2500000.0,1.19
0x7a6b2ef4903b28f924e9447c537f15115455143b,2500000.0,1.19
0x70954f0248cb5cd35042ce7866754fc1437695a5,2418743.0,1.15
